export_item_id_dashboard_down_item,export_item_name_dashboard_down_item,export_price_dashboard_down_item(Rp),export_sales_dashboard_down_item(Rp),export_item_sold_dashboard_down_item,export_orders_dashboard_down_item,export_clicks_dashboard_down_item,export_est_commission_dashboard_down_item(Rp),export_roi_dashboard_down_item,export_total_buyers_dashboard_down_item,export_new_buyers_dashboard_down_item
25750605174,Special freemir Wajan Kuping Granite Panci Susu Mpasi 20cm Anti Lengket Serbaguna MPASI Foodgrade,351000,527468,2,2,29,10549.36,50.0,2,1
18086225745,Special freemir Wajan Granite Teflon Black Series 20cm Granit Anti Lengket Hitam Serbaguna Premium,324000,526338,2,2,5,10526.76,50.0,2,1
41578225087,freemir Tiga Lapis 316 Motif Sarang Lebah Anti Lengket Luar Dalam Panci stainless steel dengan Tutup Kaca 24cm Steamer,604000,522927,1,1,44,20917.08,25.0,1,1
2615201244,freemir Tiga Lapis 316 Motif Sarang Lebah dengan Tutup Kaca 24cm Anti Lengket Luar Dalam Panci stainless steel,604000,522927,1,1,54,52292.7,10.0,1,1
24379113703,[OFFICIAL] freemir Beige 30cm wajan anti lengket 4L panci anti lengket teflon anti lengket Kompatibel dengan kompor induksi,182000,514137,3,3,239,17358.26,29.6,3,3
28551466004,[OFFICIAL BEST SELLER] freemir Panci Susu Anti Lengket Panci Mie Panci Serbaguna Panci Gemoy  Aesthetic Double Bottom Pemanasan Merata,224900,511996,3,3,105,36545.52,14.0,3,2
54250334723,Special freemir Magic Com Mini Rice Cooker Digital 1.2L Aesthetic Tutup Transparan Multifungsi,598500,510806,1,1,656,20432.24,25.0,1,1
29275707484,Special freemir  Panci Honeycomb stainless steel Tiga Lapis 316 dengan Tutup Kaca 24cm Anti Lengket,604000,510707,1,1,1081,10214.14,50.0,1,0
40502089847,NEW 2026 freemir Wajan Penggorengan Premium stainless steel SUS 304 Foodgrade Anti Karat wajan stainless steel,254000,506611,1,1,90,40528.88,12.5,1,1
19892915562,Official freemir Wajan Anti Lengket / 16cm Warna Wajan Marble / Panci Kecil Serbaguna untuk Telur / Pancake & Masakan Cepat / Lapisan Anti Lengket Premium,84000,498786,7,7,57,31018.14,16.1,7,4
23783638630,Special freemir Korean Grill Pan Panggangan Bulat 30cm Wajan Panggang BBQ Anti Lengket Bakaran Sate,180900,497756,4,4,16,14939.94,33.3,4,3
28813737551,Special freemir Tatakan Kukusan Stainless Steel 16/20/24cm Multifungsi Anti Karat Korosi Foodgrade,25900,493212,7,7,112,30295.2,16.3,7,3
22966332202,[OFFICIAL MALL] freemir Panci 2 Set Anti Lengket dengan Tutup Wajan +Wajan Panggang Serbaguna Peralatan Dapur Aesthetic,274000,476937,2,2,8,14380.74,33.2,2,1
44108710352,Official freemir Low Sugar 1.2L Digital – Rice Cooker Mini MPASI Bayi Multifungsi Rebus Kukus Nasi,604000,469616,1,1,48,46961.6,10.0,1,0
